,title,authors,isbn,average_rating,ratings_count,text_reviews_count,best_seller
5549,Rejoice,Karen Kingsbury/Gary Smalley,84386874,4.46,12550,201,
5550,Relativity: The Special And The General Theory,Albert Einstein/Nigel Calder/Robert W. Lawson,143039822,4.18,14068,344,
5551,Relativity: The Special And The General Theory: The Masterpiece Science Edition,Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy,131862618,4.18,24,2,
5552,Relato De Um Náufrago,Gabriel García Márquez/Remy Gorga Filho,8501011207,3.78,43,2,
5553,Relato De Un Náufrago,Gabriel García Márquez,307350401,3.78,2095,121,
5554,Relatos De Lo Inesperado,Roald Dahl/Carmelina Payá/Antonio Samons,8433920863,4.18,387,30,
5555,Relentless Desire,Sandra Brown,515068705,3.63,22,4,
5556,Relic,Douglas Preston/Lincoln Child,1423330412,4.02,152,41,
5557,Reliquary,Douglas Preston/Lincoln Child,765354950,4.01,32325,1044,
5558,Reluctant Burglar,Jill Elizabeth Nelson,1590526864,3.67,177,27,
5559,Reluctant Runaway,Jill Elizabeth Nelson,1590526872,3.71,90,12,
5560,Remember,Karen Kingsbury/Gary Smalley,842356290,4.43,18445,388,
5561,Remember When,Judith McNaught,1416530746,3.95,10632,252,
5562,Remembrance Of Things Past,Marcel Proust/C.K. Scott Moncrieff/Frederick A. Blossom/Joseph Wood Crutch,701125594,4.34,6,1,
5563,Remembrance Of Things Past: Volume Ii - The Guermantes Way & Cities Of The Plain,Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,394711831,4.53,866,42,
5564,Remind Me Again Why I Need A Man,Claudia Carroll,61140538,3.3,689,128,
5565,Rendezvous In Black,Cornell Woolrich/Richard Dooling,812971450,3.96,1087,99,
5566,Reptiles And Amphibians,Mark O'Shea/Tim Halliday/Jonathan Metcalf,789493934,4,56,5,
5567,Republic,Plato/Benjamin Jowett/Elizabeth Watson Scharffenberger,1593080972,3.94,392,33,
5568,Rereading America: Cultural Contexts For Critical Thinking And Writing,Gary Colombo/Bonnie Lisle,312405545,3.77,44,3,
5569,Reservation Blues,Sherman Alexie,802141900,3.98,11163,772,
5570,Resistance  Rebellion And Death: Essays,Albert Camus/Justin O'Brien,679764011,4.2,2448,104,
5571,Respiración Artificial,Ricardo Piglia,8433924710,3.96,1279,77,
